objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement;
coll002,cat.png,,,Surprised Cat,Nils Jacobi,2022-01-02,Photograph of a gray cat against an orange background with a surprised expression,Cat,,14.59948585,120.9811038,https://www.istockphoto.com/photo/funny-british-shorthair-cat-portrait-looking-shocked-or-surprised-gm1361394182-433852083,,Image;StillImage,image/png,eng,,
coll003,,J7K3HZ8VdAo,,Manila First Impressions: Cats!,MeloCat,,,,,,,,,,video/mp4,eng,,;
